outcome,predictor,logloss_age,logloss_age_plus_pred,logloss_pred_alone,gain_added_to_age
Q26,Education (3-level),0.1853680972707469,0.1838987588454626,0.18425183421401276,0.0014693384252842945
Q26,Personal income (3-level),0.1853680972707469,0.18417854512774362,0.1846014903238632,0.0011895521430032863
Q26,Religiosity,0.1853680972707469,0.18567929133474434,0.18630231951897777,-0.0003111940639974331
Q26,Subjective social class,0.1853680972707469,0.18532445629964328,0.1859280636191758,4.3640971103625636e-05
Q26,Employment status,0.1853680972707469,0.1847919666417688,0.1850440532840797,0.0005761306289780999
Q26,Marital status,0.1853680972707469,0.18557204052191248,0.1861504998595528,-0.00020394325116557255
Q27,Sex,1.3074828822160611,1.308676043104814,1.3128604431182407,-0.0011931608887527645
Q27,Education (3-level),1.3074828822160611,1.304296385449145,1.3075325029127574,0.0031864967669161803
Q27,Personal income (3-level),1.3074828822160611,1.306883356406194,1.3109017821836275,0.0005995258098672185
Q27,Religiosity,1.3074828822160611,1.3029672693731433,1.3066249232792346,0.004515612842917793
Q27,Subjective social class,1.3074828822160611,1.304018916940008,1.3079046930107074,0.0034639652760530826
Q27,Employment status,1.3074828822160611,1.3068705617016871,1.310172850406001,0.0006123205143739874
Q27,Marital status,1.3074828822160611,1.310353863049794,1.3140293403126275,-0.002870980833732828
Q28,Sex,1.1732310846123748,1.16711109585577,1.17143509383521,0.0061199887566047995
Q28,Education (3-level),1.1732310846123748,1.1720846819020754,1.174894416138437,0.0011464027102994212
Q28,Personal income (3-level),1.1732310846123748,1.1726919849531063,1.1762293057308064,0.0005390996592684605
Q28,Religiosity,1.1732310846123748,1.1673571769045388,1.1711413663560906,0.0058739077078360236
Q28,Subjective social class,1.1732310846123748,1.172492064353847,1.177265237292943,0.0007390202585277894
Q28,Employment status,1.1732310846123748,1.1744770713612516,1.176609906014353,-0.0012459867488767706
Q28,Marital status,1.1732310846123748,1.172738600188331,1.1775836620022648,0.0004924844240437043
Q29,Sex,1.0718387640874538,1.0553084638002432,1.067510516836128,0.016530300287210586
Q29,Education (3-level),1.0718387640874538,1.0642170293562685,1.070983894955742,0.007621734731185326
Q29,Personal income (3-level),1.0718387640874538,1.0694185797451456,1.078098837133528,0.0024201843423081737
Q29,Religiosity,1.0718387640874538,1.0673338301753046,1.0773889497698539,0.004504933912149234
Q29,Subjective social class,1.0718387640874538,1.0674158463027548,1.0799193720030484,0.004422917784699054
Q29,Employment status,1.0718387640874538,1.0733479687375596,1.0794940263913881,-0.0015092046501057332
Q29,Marital status,1.0718387640874538,1.0714586692782815,1.0843818528209295,0.00038009480917233773
Q30,Sex,0.8589871467583752,0.845836403340525,0.8671769691842561,0.013150743417850164
Q30,Education (3-level),0.8589871467583752,0.8487688646646584,0.8608627166948629,0.01021828209371678
Q30,Personal income (3-level),0.8589871467583752,0.8547230680362917,0.8685838550313243,0.004264078722083453
Q30,Religiosity,0.8589871467583752,0.8479075680935809,0.8671605830565154,0.011079578664794254
Q30,Subjective social class,0.8589871467583752,0.8544554945713954,0.876695217836556,0.004531652186979818
Q30,Employment status,0.8589871467583752,0.860712890582182,0.8725502588532009,-0.0017257438238068579
Q30,Marital status,0.8589871467583752,0.8592980373896971,0.8797894135768647,-0.0003108906313219473
Q31,Sex,1.071335085973439,1.049401769105086,1.0612066214343954,0.02193331686835287
Q31,Education (3-level),1.071335085973439,1.0647468701277316,1.0711047459892349,0.006588215845707346
Q31,Personal income (3-level),1.071335085973439,1.065945241691762,1.0733312086534297,0.005389844281676881
Q31,Religiosity,1.071335085973439,1.063249209830412,1.0730677028301714,0.008085876143026915
Q31,Subjective social class,1.071335085973439,1.0661744758553269,1.0785758465615494,0.005160610118112086
Q31,Employment status,1.071335085973439,1.073114527273917,1.079467433936856,-0.001779441300478135
Q31,Marital status,1.071335085973439,1.0684393453003298,1.0816439271327138,0.0028957406731091595
Q32,Sex,1.3232828426088843,1.3172752229616007,1.331160945487502,0.00600761964728358
Q32,Education (3-level),1.3232828426088843,1.3196781972519445,1.3314130603119905,0.0036046453569398285
Q32,Personal income (3-level),1.3232828426088843,1.3237982785870313,1.33624470706354,-0.0005154359781469608
Q32,Religiosity,1.3232828426088843,1.3181832032330185,1.3319216092627042,0.005099639375865772
Q32,Subjective social class,1.3232828426088843,1.324762307502795,1.3386302436903326,-0.0014794648939107091
Q32,Employment status,1.3232828426088843,1.3245989384993948,1.3339529021490228,-0.0013160958905105158
