id,cluster,prob_cluster_0,prob_cluster_1
235.0,0,1.0,7.462964985934217e-19
236.0,0,1.0,2.1780442076842424e-25
237.0,1,9.512491082923272e-10,0.9999999990487254
238.0,0,0.9999999999999716,3.9416303016555787e-14
239.0,0,1.0,2.109908704027334e-28
240.0,1,2.6129966946246494e-32,1.0
241.0,0,1.0,1.1342618200396747e-18
242.0,0,0.9999999498720354,5.0127970595130055e-08
243.0,0,0.9999999997269811,2.730381918727234e-10
244.0,1,1.0707996838154003e-25,1.0
245.0,1,3.6894516057266145e-33,1.0
246.0,1,5.65165577495826e-21,1.0
247.0,0,0.9999999999997158,2.983397307964407e-13
248.0,0,0.9966381961556693,0.003361803844338146
249.0,0,1.0,1.0759511011328057e-19
250.0,0,0.9995704026062259,0.0004295973937547073
251.0,0,0.9802908619880271,0.019709138011980685
252.0,1,1.5170769836146294e-12,0.9999999999984652
253.0,1,1.983961438977557e-06,0.9999980160385816
254.0,0,1.0,1.4253272067533436e-30
255.0,0,1.0,3.86455977229669e-21
256.0,0,1.0,2.181063405500753e-14
257.0,0,0.9999999998934754,1.0651843201372652e-10
258.0,0,1.0,2.749689716858223e-31
259.0,1,5.090532081144957e-64,1.0
260.0,1,0.0002313099288408284,0.9997686900711777
261.0,0,1.0,1.4978834840740012e-20
262.0,1,2.711452793579578e-38,1.0
263.0,1,4.9263755647914244e-08,0.9999999507362544
264.0,0,0.9999999204185915,7.958138336090236e-08
265.0,1,1.6255093725145327e-05,0.9999837449062852
266.0,0,0.9999999999998579,1.4416685114244695e-13
267.0,1,1.7922634267521532e-42,1.0
268.0,1,6.767141750606915e-14,0.9999999999999432
269.0,0,0.9999491382843649,5.0861715625801625e-05
270.0,0,1.0,1.798384929985417e-28
271.0,0,1.0,3.470412576608395e-30
272.0,0,1.0,2.6016430280858235e-15
273.0,1,1.2139864656156197e-24,1.0
274.0,1,2.7864247895572226e-05,0.9999721357520773
275.0,1,4.0169727735208446e-15,1.0
276.0,0,1.0,2.8474586888375624e-22
277.0,0,1.0,2.0896920422150848e-26
278.0,0,1.0,5.550448149619751e-30
279.0,0,0.9999999999999147,7.317195070932572e-14
280.0,1,5.53379923702262e-29,1.0
281.0,1,0.003363308389169223,0.9966366916108256
282.0,0,1.0,3.0629071789402526e-15
283.0,1,2.7742103897138537e-13,0.9999999999997158
284.0,0,1.0,5.513690935924937e-22
285.0,1,8.115263907446137e-16,1.0
286.0,1,4.936124666492571e-15,1.0
287.0,0,0.9999422546229342,5.774537705406172e-05
288.0,0,0.9999999999967315,3.2560013373919344e-12
289.0,0,1.0,3.062521349810154e-25
290.0,1,1.304335355440606e-60,1.0
291.0,1,4.7886576079857856e-14,0.9999999999999432
292.0,1,0.006081954587633327,0.9939180454123551
293.0,0,0.9999996420207894,3.5797918887116656e-07
294.0,1,2.0701734420582786e-15,1.0
295.0,1,0.0011516169429000307,0.9988483830570848
296.0,0,1.0,1.1374263527147401e-27
297.0,1,3.139298509095457e-23,1.0
298.0,1,1.4054172106194076e-05,0.999985945827883
299.0,1,1.0775685632830093e-54,1.0
300.0,0,0.9985907967553881,0.0014092032446167367
301.0,0,1.0,3.1505678005101058e-27
302.0,1,1.9522477949144444e-25,1.0
