id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
404.0,1,2.2693956796926834e-19,1.0,7.163395129291056e-37
405.0,0,0.9999343628587972,6.563705148721543e-05,8.971457819519942e-11
406.0,2,1.4829830509212864e-07,0.028157126547739286,0.9718427251539566
407.0,1,0.0949539589638566,0.9050460410361477,1.097574455392731e-31
408.0,2,3.3809910435235344e-30,5.563655435548975e-20,1.0
409.0,2,3.950905292397037e-39,3.9316872133369556e-30,1.0
410.0,0,1.0,1.5148831971161799e-27,4.3884075972915055e-19
411.0,1,6.627823402287197e-12,0.9999999999933493,2.144594217649685e-14
412.0,1,5.373535439780344e-25,1.0,1.7115221798256118e-73
413.0,1,3.81977878629509e-24,1.0,9.934437128116347e-38
414.0,1,2.3152134723680915e-16,1.0,1.752907573542353e-72
415.0,1,1.0250576693620102e-11,0.9999265565789635,7.3443410775797e-05
416.0,2,1.5394851287608927e-26,2.3258178572631086e-33,1.0
417.0,2,2.7342708442490866e-05,6.821869623430388e-51,0.9999726572915669
418.0,0,1.0,1.5868748763469122e-35,1.5953060231024806e-72
419.0,2,2.917570077262713e-33,4.888040042099582e-15,1.0
420.0,1,0.0009590811408353817,0.9990339335034278,6.985355725005031e-06
421.0,0,1.0,5.11956378485136e-25,1.1694716683109703e-63
422.0,1,3.80995647657468e-24,1.0,1.3418227327836227e-62
423.0,2,5.28336542388567e-07,3.796025071914055e-09,0.9999994678674108
424.0,2,2.977558448148305e-40,9.317669348164526e-29,1.0
425.0,2,1.5531411647523773e-34,1.499727357677952e-08,0.9999999850027167
426.0,1,2.5029811616928245e-07,0.9999997497018598,6.892790117724493e-52
427.0,1,3.0420423390964997e-12,0.9999999999969589,2.3339978125128737e-25
428.0,1,3.1277181233942067e-10,0.9999980168956649,1.982791562806795e-06
429.0,2,4.6304702531120504e-14,3.3653059631211717e-39,0.9999999999999432
430.0,1,1.460340010117685e-07,0.9999998539659707,8.245140442393543e-24
431.0,0,1.0,1.3021953474993383e-40,2.1362274569429466e-103
432.0,1,3.377492235666629e-21,0.9988013007321025,0.0011986992678767994
433.0,0,0.9999999721538589,2.7846135303805373e-08,3.607222415802307e-41
434.0,0,0.999997610113112,2.389886875806311e-06,4.316634288339432e-57
435.0,2,0.00029126498957296704,1.882998432975335e-09,0.9997087331274043
436.0,0,0.9999999998044586,1.9533425523770138e-10,1.8752273079372695e-13
437.0,0,0.9999999999642455,3.577570818818065e-11,2.2027507724992555e-139
438.0,0,1.0,2.5303033298326766e-34,2.8221032474358696e-61
439.0,0,0.99999999132433,8.675652539860574e-09,4.580852322314035e-62
440.0,1,3.2087773601747468e-31,0.9999982461642706,1.7538357300689485e-06
441.0,1,2.080917215049812e-13,0.999999999999801,1.077289202097936e-16
442.0,1,2.4125963008266275e-07,0.9999997587403591,6.237488216876182e-96
443.0,1,1.48655632277387e-07,0.9999918034864066,8.047857946744297e-06
444.0,2,1.5419592836581923e-31,2.0720665430145973e-18,1.0
445.0,1,8.71637243675814e-09,0.9999999912836302,6.399997634704085e-21
446.0,0,1.0,1.9900949502358912e-23,5.702448820389477e-38
447.0,1,6.546934573434623e-11,0.9999999999345164,5.948097448600958e-16
448.0,2,6.760130911134172e-19,0.0009129130069937608,0.9990870869929948
449.0,1,2.196888200735864e-05,0.9999780310205536,9.74598194679444e-11
450.0,1,2.944537545799465e-13,0.9999999999997158,9.676183702038086e-16
451.0,1,3.1216227756688114e-09,0.9999999968783868,1.1928371799798435e-35
452.0,1,2.806255989632139e-09,0.9999999971937541,2.8692056180927512e-21
453.0,2,2.2878464768427433e-08,1.5182854074275968e-11,0.9999999771063701
454.0,1,8.787009553538513e-10,0.9999999991213144,4.929120480318039e-16
455.0,2,2.8873518975369424e-22,9.047760890542379e-47,1.0
456.0,2,1.7583375354345772e-26,0.0007719572869529403,0.9992280427130592
457.0,2,6.319074736623378e-15,1.1139802616577446e-12,0.9999999999988631
458.0,1,6.1499691315207e-09,0.9999999938499968,5.417606304827904e-14
459.0,0,0.9999999826210343,9.686782110115444e-12,1.736928413462445e-08
460.0,0,0.9966697918472593,0.0033302081527409933,1.5520750441257824e-34
461.0,1,3.0269768173482286e-15,0.9999999996220481,3.779455154139258e-10
462.0,0,1.0,2.9567157445920834e-28,9.997683596818586e-66
463.0,0,1.0,1.4165825349871961e-18,1.3605416471953143e-70
464.0,2,1.877771781012026e-18,4.1002825838641605e-14,0.9999999999999432
